nom_de_la_commune;code_postal;latitude;longitude
CURTAFOND;1310;46.2741585;5.10513255
CUZIEU;1300;45.82160715;5.6801793499999995
DAGNEUX;1120;45.8540144;5.07481235
DIVONNE LES BAINS;1220;46.3754468;6.1113921
DOMPIERRE SUR VEYLE;1240;46.0671684;5.216696349999999
DOMPIERRE SUR CHALARONNE;1400;46.14202295;4.900397
DOMSURE;1270;46.4210607;5.2944627
DORTAN;1590;46.3183577;5.644338599999999
DOUVRES;1500;45.98471415;5.37243705
DROM;1250;46.2201599;5.3674101499999995
DRUILLAT;1160;46.069118700000004;5.2946662
ECHALLON;1130;46.22934815;5.73455575
ECHENEVEX;1170;46.31967025;6.01804555
EVOSGES;1230;45.963013399999994;5.50084995
FARAMANS;1800;45.9085758;5.1259744000000005
FAREINS;1480;46.02348985;4.76819925
FARGES;1550;46.16568115;5.9053772
FEILLENS;1570;46.33930105;4.8866073
FERNEY VOLTAIRE;1210;46.2519658;6.1061384
FLAXIEU;1350;45.81247545;5.7466328
FOISSIAT;1340;46.3791679;5.1850869
FRANCHELEINS;1090;46.070708100000004;4.81107115
FRANS;1480;45.99051585;4.781944299999999
GARNERANS;1140;46.21236375;4.82893855
GENOUILLEUX;1090;46.1210526;4.79254975
BEARD GEOVREISSIAT;1460;46.188424850000004;5.5496958
GEOVREISSET;1100;46.251767900000004;5.6163155499999995
GEX;1170;46.35146795;6.048849199999999
GIRON;1130;46.2207494;5.7880657
GORREVOD;1190;46.41565315;4.95071865
GRAND CORENT;1250;46.2088806;5.4387611
GRIEGES;1290;46.266925099999995;4.8475076
GRILLY;1220;46.3318158;6.1139037
GROISSIAT;1100;46.22697995;5.6178550000000005
GUEREINS;1090;46.1059927;4.783860600000001
HAUTECOURT ROMANECHE;1250;46.15916785;5.43111955
PLATEAU D HAUTEVILLE;1110;45.9304878;5.5774902
HAUT VALROMEY;1260;46.04360005;5.6846461
ILLIAT;1140;46.183822;4.88841105
INJOUX GENISSIAT;1200;46.05054845;5.76778105
INNIMOND;1680;45.78749355;5.57231655
IZENAVE;1430;46.0380217;5.52338925
IZERNORE;1580;46.215992299999996;5.5609297
IZIEU;1300;45.655540650000006;5.6386576999999996
JASSANS RIOTTIER;1480;45.9770838;4.7625806
JASSERON;1250;46.217615550000005;5.3170141
JAYAT;1340;46.3698269;5.1117138
JOURNANS;1250;46.1454504;5.33332375
JOYEUX;1800;45.94600955;5.09983495
JUJURIEUX;1640;46.05029555;5.4121709
LABALME;1450;46.09148055;5.4944661
LAGNIEU;1150;45.88631495;5.33956905
LAIZ;1290;46.2461524;4.9005889499999995
LE POIZAT LALLEYRIAT;1130;46.13915505;5.6955342
LANTENAY;1430;46.05308945;5.53794425
LAPEYROUSE;1330;45.9849023;4.9821209500000005
LAVOURS;1350;45.8107945;5.7707200499999995
LEAZ;1200;46.1113274;5.87677515
LELEX;1410;46.28560885;5.92740855
LENT;1240;46.1165489;5.1973498
LESCHEROUX;1560;46.4089084;5.157254200000001
LEYMENT;1150;45.928672399999996;5.29266305
LEYSSARD;1450;46.160494150000005;5.47668975
SURJOUX LHOPITAL;1420;46.0301603;5.766571900000001
LHUIS;1680;45.746886950000004;5.5397741
LOMPNAS;1680;45.81179625;5.526278250000001
LOYETTES;1360;45.7953048;5.21632535
LURCY;1090;46.06275785;4.7802486
MAGNIEU;1300;45.776301450000005;5.71965445
MAILLAT;1430;46.12041215;5.535012249999999
MALAFRETAZ;1340;46.32993075;5.1461621
MANTENAY MONTLIN;1560;46.4317705;5.10639345
MANZIAT;1570;46.36505525;4.90261495
MARBOZ;1851;46.34521385;5.24606805
MARCHAMP;1680;45.776187750000005;5.5509185500000005
MARIGNIEU;1300;45.80231785;5.71797065
MARLIEUX;1240;46.054172050000005;5.075605400000001
MARSONNAS;1340;46.3400853;5.060757349999999
MARTIGNAT;1100;46.2030464;5.60995005
MASSIEUX;1600;45.910120449999994;4.82788155
MASSIGNIEU DE RIVES;1300;45.756373749999995;5.75660985
MATAFELON GRANGES;1580;46.2504985;5.5271818
MEILLONNAS;1370;46.245149350000005;5.334677299999999
MERIGNAT;1450;46.06503695;5.44252025
MESSIMY SUR SAONE;1480;46.047968499999996;4.7609058
MEXIMIEUX;1800;45.904712149999995;5.21159125
BOHAS MEYRIAT RIGNAT;1250;46.14218835;5.3750135
MEZERIAT;1660;46.24239575;5.0481060499999995
MIJOUX;1170;46.3593321;6.010599600000001
MIJOUX;1410;46.3593321;6.010599600000001
MIONNAY;1390;45.89588185;4.9274322
MIRIBEL;1700;45.8444012;4.94102225
MISERIEUX;1600;45.974571850000004;4.813780749999999
MOGNENEINS;1140;46.14540475;4.82032255
MONTAGNAT;1250;46.1720208;5.27762815
MONTAGNIEU;1470;45.8020141;5.4598176
MONTANGES;1200;46.17104755;5.790304
MONTCEAUX;1090;46.09779645;4.8040673
MONTCET;1310;46.21985585;5.11229265
LE MONTELLIER;1800;45.9283964;5.06987395
MONTHIEUX;1390;45.9631063;4.94804705
MONTLUEL;1120;45.88676435;5.0184846
MONTMERLE SUR SAONE;1090;46.084335949999996;4.7589837500000005
MONTRACOL;1310;46.182032750000005;5.1234494
MONTREAL LA CLUSE;1460;46.180957199999995;5.5976441
MONTREVEL EN BRESSE;1340;46.326161;5.11217745
NURIEUX VOLOGNAT;1460;46.1855212;5.5154539
MURS ET GELIGNIEUX;1300;45.64044385;5.6585202500000005
NANTUA;1130;46.1485861;5.6079372
NANTUA;1460;46.1485861;5.6079372
NEUVILLE LES DAMES;1400;46.159897;5.010331450000001
NEUVILLE SUR AIN;1160;46.0909062;5.37016375
LES NEYROLLES;1130;46.1366758;5.63538185
NEYRON;1700;45.82037525;4.93558115
NIEVROZ;1120;45.8240928;5.061534399999999
NIVOLLET MONTGRIFFON;1230;46.000174200000004;5.4567426999999995
ONCIEU;1230;45.96853185;5.471552900000001
ORDONNAZ;1510;45.8356791;5.5438943
ORNEX;1210;46.2779235;6.0952984
OUTRIAZ;1430;46.0630506;5.55434335
OYONNAX;1100;46.259907600000005;5.65177685
OZAN;1190;46.3863263;4.9191097500000005
PARCIEUX;1600;45.91965235;4.8299494
PARVES ET NATTAGES;1300;45.7317617;5.7494840499999995
PERON;1630;46.19330215;5.914077649999999
PERONNAS;1960;46.169334649999996;5.219549499999999
PEROUGES;1800;45.8788533;5.1791377999999995
PERREX;1540;46.2462498;4.97181795
PEYRIAT;1430;46.14861395;5.5060029
PEYRIEU;1300;45.67398225;5.6829284
PEYZIEUX SUR SAONE;1140;46.1227115;4.81916805
PIRAJOUX;1270;46.385957649999995;5.2702893
PIZAY;1120;45.890608400000005;5.09009
PLAGNE;1130;46.18891405;5.7179193
LE PLANTAY;1330;46.02358355;5.089105
POLLIAT;1310;46.2503409;5.13549945
POLLIEU;1350;45.7952825;5.74628785
PONCIN;1450;46.0915405;5.4129306
PONT D AIN;1160;46.0556135;5.3491386
PONT DE VAUX;1190;46.4414841;4.92647425
PONT DE VEYLE;1290;46.2647422;4.88179525
PORT;1460;46.1535138;5.5809926999999995
POUGNY;1550;46.14573085;5.94924975
POUILLAT;1250;46.326315949999994;5.4242918
PREMEYZEL;1300;45.68270055;5.64233235
PREMILLIEU;1110;45.878464050000005;5.5657185
PREVESSIN MOENS;1280;46.25935645;6.0722074
PRIAY;1160;46.01901995;5.28285155
RAMASSE;1250;46.1892898;5.35693045
RANCE;1390;45.9674149;4.8665204
RELEVANT;1990;46.0808292;4.93990705
REPLONGES;1750;46.3069944;4.8784572
REVONNAS;1250;46.16368825;5.3350907
REYRIEUX;1600;45.9367844;4.8314357
REYSSOUZE;1190;46.42841835;4.9145401500000006
RIGNIEUX LE FRANC;1800;45.9513278;5.16745835
ROMANS;1400;46.12160725;5.021744
ROSSILLON;1510;45.835902700000005;5.598723100000001
ST ALBAN;1450;46.096837300000004;5.45677615
ST ANDRE DE BAGE;1380;46.29746975;4.9132159
ST ANDRE DE CORCY;1390;45.9287415;4.95289595
ST ANDRE D HUIRIAT;1290;46.21626305;4.9143967
ST ANDRE LE BOUCHOUX;1240;46.11373405;5.07751805
ST ANDRE SUR VIEUX JONC;1960;46.14998115;5.1429849
ST BENIGNE;1190;46.4517316;4.95202055
GROSLEE ST BENOIT;1300;45.70106515;5.5822620999999994
ST BERNARD;1600;45.949966450000005;4.7419756500000005
STE CROIX;1120;45.897818099999995;5.04767685
ST CYR SUR MENTHON;1380;46.275134449999996;4.9669063
ST DENIS LES BOURG;1000;46.2096863;5.1824741
ST DENIS EN BUGEY;1500;45.9497061;5.32597485
ST DIDIER D AUSSIAT;1340;46.307483500000004;5.0535954
ST DIDIER DE FORMANS;1600;45.958690399999995;4.77670055
ST DIDIER SUR CHALARONNE;1140;46.187668900000006;4.82295415
ST ELOI;1800;45.9342811;5.150668850000001
ST ETIENNE DU BOIS;1370;46.27554825;5.27927695
ST ETIENNE SUR CHALARONNE;1140;46.1451403;4.86936775
ST ETIENNE SUR REYSSOUZE;1190;46.3997815;5.0030831
STE EUPHEMIE;1600;45.965090599999996;4.7927484
ST GENIS POUILLY;1630;46.255646999999996;6.0367548
ST GENIS SUR MENTHON;1380;46.280972399999996;5.01613425
ST GEORGES SUR RENON;1400;46.1033089;5.02859585
ST GERMAIN DE JOUX;1130;46.181186;5.7435367
ST GERMAIN LES PAROISSES;1300;45.772969700000004;5.6190605
ST GERMAIN SUR RENON;1240;46.076385849999994;5.06255655
ST JEAN DE GONVILLE;1630;46.218447999999995;5.93947125
ST JEAN DE NIOST;1800;45.83840745;5.20664675
ST JEAN DE THURIGNEUX;1390;45.959722;4.89586645
ST JEAN LE VIEUX;1640;46.02798145;5.3799208499999995
ST JEAN SUR REYSSOUZE;1560;46.391208;5.05820175
ST JEAN SUR VEYLE;1290;46.268661050000006;4.920260300000001
STE JULIE;1150;45.8802071;5.2837206000000005
ST JULIEN SUR REYSSOUZE;1560;46.39769715;5.1061509
ST JULIEN SUR VEYLE;1540;46.20722405;4.9558661
ST JUST;1250;46.1947682;5.2849567
ST LAURENT SUR SAONE;1750;46.30530485;4.839537050000001
ST MARCEL;1390;45.9484782;4.9862026
ST MARTIN DE BAVEL;1510;45.84673315;5.67790435
ST MARTIN DU FRENE;1430;46.13452485;5.57108675
ST MARTIN DU MONT;1160;46.10625395;5.3299601
ST MARTIN LE CHATEL;1310;46.290338250000005;5.1205621
ST MAURICE DE BEYNOST;1700;45.83246045;4.976324249999999
ST MAURICE DE GOURDANS;1800;45.81898405;5.17199985
ST MAURICE DE REMENS;1500;45.954241100000004;5.2705985
ST NIZIER LE BOUCHOUX;1560;46.454905350000004;5.1715841000000005
ST NIZIER LE DESERT;1320;46.0518424;5.14705355
STE OLIVE;1330;46.01468185;4.93490095
ST PAUL DE VARAX;1240;46.094893600000006;5.13086675
ST RAMBERT EN BUGEY;1230;45.9530486;5.441777399999999
ST REMY;1310;46.18570965;5.16460555
ST SORLIN EN BUGEY;1150;45.8863169;5.3690128
ST SULPICE;1340;46.3214588;5.0405584
ST TRIVIER DE COURTES;1560;46.45801085;5.067176849999999
ST TRIVIER SUR MOIGNANS;1990;46.0632152;4.898429
ST VULBAS;1150;45.823350500000004;5.267026749999999
SALAVRE;1270;46.363031250000006;5.34567775
SAMOGNAT;1580;46.27321165;5.58264625
SANDRANS;1400;46.07089645;4.9823523000000005
SAULT BRENAZ;1150;45.861156199999996;5.40070145
SAUVERNY;1220;46.31325755;6.11015035
SAVIGNEUX;1480;45.9946461;4.855893200000001
SEGNY;1170;46.29440045;6.0731928
SEILLONNAZ;1470;45.800636350000005;5.504028099999999
SERGY;1630;46.26148095;5.9871777
SERMOYER;1190;46.4987117;4.97330105
SERRIERES DE BRIORD;1470;45.812858399999996;5.4423723
SERRIERES SUR AIN;1450;46.14897995;5.4471866
SERVAS;1960;46.1366097;5.184504
SERVIGNAT;1560;46.43538945;5.05874925
SEYSSEL;1420;45.947709450000005;5.8256803
SIMANDRE SUR SURAN;1250;46.235025199999995;5.4213739499999996
SONTHONNAX LA MONTAGNE;1580;46.223531300000005;5.50150865
SOUCLIN;1150;45.88114485;5.43677265
SULIGNAT;1400;46.17272715;4.96006
TALISSIEU;1510;45.8626642;5.719935850000001
TENAY;1230;45.922195650000006;5.5147082
THIL;1120;45.818358950000004;5.01886195
THOIRY;1710;46.244785300000004;5.96846135
THOISSEY;1140;46.169730099999995;4.7963192
TORCIEU;1230;45.91894135;5.40559605
TOSSIAT;1250;46.1354934;5.3075805
TOUSSIEUX;1600;45.9609836;4.8288645500000005
TRAMOYES;1390;45.87420675;4.96238355
LA TRANCLIERE;1160;46.091491250000004;5.2655743
VAL REVERMONT;1370;46.281604099999996;5.3536728
TREVOUX;1600;45.93982665;4.771015200000001
VALEINS;1140;46.11450815;4.8645932
VANDEINS;1660;46.215482449999996;5.0786477
VARAMBON;1160;46.04426925;5.29086715
VAUX EN BUGEY;1150;45.91843665;5.36118255
VERJON;1270;46.3465944;5.3471515499999995
VERNOUX;1560;46.4861097;5.10359915
VERSAILLEUX;1330;45.9882802;5.1149996
VERSONNEX;1210;46.299205400000005;6.1007657
VESANCY;1170;46.3633944;6.0856043
VESCOURS;1560;46.4743121;5.02857315
VESINES;1570;46.359262099999995;4.8637836
VIEU D IZENAVE;1430;46.0822658;5.55546895
VILLARS LES DOMBES;1330;46.00002845;5.04434815
VILLEBOIS;1150;45.8498797;5.44826105
VILLEMOTIER;1270;46.3416692;5.3086723
VILLENEUVE;1480;46.03463285;4.8597771000000005
VILLEREVERSURE;1250;46.1939481;5.393606999999999
VILLES;1200;46.095189950000005;5.75976475
VILLETTE SUR AIN;1320;46.01247725;5.2540254
VILLIEU LOYES MOLLON;1800;45.9289622;5.22651595
VIRIAT;1440;46.2522169;5.22569615
VIRIEU LE GRAND;1510;45.846461649999995;5.639015949999999
ARVIERE EN VALROMEY;1260;45.91531845;5.73463645
VIRIGNIN;1300;45.72818395;5.7148809499999995
VONGNES;1350;45.81214545;5.7254822
VONNAS;1540;46.2131977;4.9944878500000005
ABBECOURT;2300;49.5997486;3.1824101000000002
ACHERY;2800;49.69352525;3.39737165
ACY;2200;49.3476371;3.41881135
AGNICOURT ET SECHELLES;2340;49.717245399999996;3.96374945
AGUILCOURT;2190;49.395274549999996;3.96631265
AISONVILLE ET BERNOVILLE;2110;49.93129965;3.51214865
AIZELLES;2820;49.486464749999996;3.8210789
AIZY JOUY;2370;49.4372466;3.5127867999999998
ALAINCOURT;2240;49.76808695;3.3692123
ALLEMANT;2320;49.46394625;3.4591302
AMBLENY;2290;49.3735468;3.1661974
AMBRIEF;2200;49.3226033;3.40576165
AMIFONTAINE;2190;49.497722249999995;3.9218451500000002
AMIGNY ROUY;2700;49.61108535;3.3058673
ANCIENVILLE;2600;49.21961955;3.20648685
ANDELAIN;2800;49.642772050000005;3.36855335
ANGUILCOURT LE SART;2800;49.697086799999994;3.4239583500000004
ANIZY LE GRAND;2320;49.51589395;3.442628
ANNOIS;2480;49.71223795;3.17613205
ANY MARTIN RIEUX;2500;49.88514535;4.21903205
ARCHON;2360;49.744416;4.117566549999999
ARCY STE RESTITUE;2130;49.25568045;3.4775764000000002
ARMENTIERES SUR OURCQ;2210;49.1730668;3.3916368500000003
ARRANCY;2860;49.498518849999996;3.7646962999999998
ARTEMPS;2480;49.7623422;3.1959619000000004
ASSIS SUR SERRE;2270;49.67880915;3.55471
ATHIES SOUS LAON;2840;49.575403300000005;3.6905278499999996
ATTILLY;2490;49.8556715;3.1533036
AUBENCHEUL AUX BOIS;2420;50.02476585;3.2614018
AUBENTON;2500;49.825414699999996;4.1927863
AUBIGNY AUX KAISNES;2590;49.7724006;3.11673485
AUBIGNY EN LAONNOIS;2820;49.4949698;3.7921255
AUDIGNICOURT;2300;49.477854750000006;3.12679165
AUDIGNY;2120;49.86505745;3.63138685
AUGY;2220;49.3405303;3.51173465
AULNOIS SOUS LAON;2000;49.6212955;3.6111091
LES AUTELS;2360;49.76032595;4.2240143
AUTREMENCOURT;2250;49.7042174;3.79311155
AUTREPPES;2580;49.8963162;3.8571134000000002
AUTREVILLE;2300;49.587792300000004;3.23782535
AZY SUR MARNE;2400;49.00611345;3.3575388999999998
BAGNEUX;2290;49.45952085;3.27756855
BANCIGNY;2140;49.799666849999994;4.03825335
BARENTON BUGNY;2000;49.6217144;3.6612440499999996
BARENTON CEL;2000;49.64660945;3.64476875
BARENTON SUR SERRE;2270;49.6682219;3.69293125
BARISIS AUX BOIS;2700;49.58144675;3.33202855
BARZY EN THIERACHE;2170;50.0377778;3.7522054000000002
BARZY SUR MARNE;2850;49.0900012;3.55864055
BASSOLES AULERS;2380;49.532773199999994;3.3827604
VALLEES EN CHAMPAGNE;2330;49.00100395;3.6202857
BAZOCHES ET ST THIBAUT;2220;49.29912265;3.6184652
BEAUME;2500;49.81873645;4.152863249999999
BEAUMONT EN BEINE;2300;49.68763885;3.1317038
BEAUREVOIR;2110;49.9965474;3.33200945
BEAURIEUX;2160;49.4028965;3.7594425
BEAUTOR;2800;49.647166049999996;3.3360854
BEAUVOIS EN VERMANDOIS;2590;49.83313535;3.10225355
BECQUIGNY;2110;50.0142851;3.45796215
BELLEAU;2400;49.0802651;3.3036286500000003
BELLENGLISE;2420;49.924093049999996;3.2431292000000003
BELLEU;2200;49.359666250000004;3.3439073
BELLICOURT;2420;49.9580568;3.2284089500000004
BENAY;2440;49.75556895;3.3076131
BERGUES SUR SAMBRE;2450;50.029989150000006;3.71144795
BERLANCOURT;2250;49.77991245;3.75700045
BERLISE;2340;49.66283555;4.1103851
BERNOT;2120;49.882706150000004;3.48269015
BERNY RIVIERE;2290;49.41182175;3.15196245
BERRIEUX;2820;49.4828343;3.85313075
BERRY AU BAC;2190;49.4075716;3.89465555
BERTAUCOURT EPOURDON;2800;49.628261300000005;3.3988461
BERTHENICOURT;2240;49.7787476;3.3730279999999997
BERTRICOURT;2190;49.39754;4.01163955
BESME;2300;49.534753249999994;3.1656782000000003
BESMONT;2500;49.8208883;4.11604555
BESNY ET LOIZY;2870;49.5914056;3.5778349499999997
BETHANCOURT EN VAUX;2300;49.6273875;3.1375571
BEUGNEUX;2210;49.22435495;3.41874025
BEUVARDES;2130;49.127835250000004;3.48840365
BEZU LE GUERY;2310;49.01006525;3.22830625
BEZU ST GERMAIN;2400;49.1045414;3.4081516
BICHANCOURT;2300;49.5787052;3.2134606000000003
BIEUXY;2290;49.446934299999995;3.26865
BIEVRES;2860;49.49231535;3.7141181000000003
BILLY SUR AISNE;2200;49.35549705;3.37530455
BILLY SUR OURCQ;2210;49.223343299999996;3.30099065
BLANZY LES FISMES;2160;49.33778165;3.6702459000000003
BLERANCOURT;2300;49.509974549999995;3.1489793500000003
BLESMES;2400;49.02583155;3.4627920000000003
BOHAIN EN VERMANDOIS;2110;49.9887432;3.46403
BOIS LES PARGNY;2270;49.738280950000004;3.65669015
BONCOURT;2350;49.628709400000005;3.95527115
BONNEIL;2400;49.00765875;3.3476413000000003
BONNESVALYN;2400;49.1244435;3.3280549
BONY;2420;49.9895723;3.21798745
BOSMONT SUR SERRE;2250;49.738093750000004;3.8664033
BOUCONVILLE VAUCLAIR;2860;49.46057815;3.7608556
BOUE;2450;50.0100549;3.7126104
BOUFFIGNEREUX;2160;49.3776449;3.84702065
BOURESCHES;2400;49.06648095;3.31913485
BOURG ET COMIN;2160;49.4038368;3.6564768
BOURGUIGNON SOUS COUCY;2300;49.54167270000001;3.1578771000000003
BOURGUIGNON SOUS MONTBAVIN;2000;49.527961700000006;3.5389289
LA BOUTEILLE;2140;49.87381885;3.9601838999999996
BRAINE;2220;49.3487796;3.5356634
BRANCOURT EN LAONNOIS;2320;49.5170491;3.41279955
BRANCOURT LE GRAND;2110;49.9797876;3.3956288
BRASLES;2400;49.0579195;3.4195539
BRAYE EN LAONNOIS;2000;49.436958399999995;3.60962575
BRAYE EN THIERACHE;2140;49.766483300000004;3.9622733500000002
BRAY ST CHRISTOPHE;2480;49.7738159;3.1419527
BRAYE;2880;49.4222337;3.37687655
BRECY;2210;49.14019245;3.42632595
BRENELLE;2220;49.369359200000005;3.54590205
BRENY;2210;49.182565100000005;3.3513329
BRIE;2870;49.5991662;3.47218875
BRISSAY CHOIGNY;2240;49.722445199999996;3.4041816000000003
BRISSY HAMEGICOURT;2240;49.74576705;3.4010990000000003
BRUMETZ;2810;49.1124286;3.1528192500000003
BRUNEHAMEL;2360;49.76859015;4.187974199999999
BRUYERES SUR FERE;2130;49.199392200000005;3.44496835
BRUYERES ET MONTBERAULT;2860;49.518364950000006;3.669829
BRUYS;2220;49.2595199;3.5669159
BUCILLY;2500;49.8635685;4.0938126
BUCY LE LONG;2880;49.39001555;3.3923240000000003
BUCY LES CERNY;2870;49.5798763;3.49297435
BUCY LES PIERREPONT;2350;49.6494215;3.9040073
BUIRE;2500;49.9080237;4.05610235
BUIRONFOSSE;2620;49.95798765;3.83712825
BURELLES;2140;49.77022585;3.91484655
BUSSIARES;2810;49.074930699999996;3.25013725
BUZANCY;2200;49.30856665;3.34866575
CAILLOUEL CREPIGNY;2300;49.6173878;3.1225532
CAMELIN;2300;49.5244261;3.1243246
LA CAPELLE;2260;49.97049515;3.9145872500000003
CASTRES;2680;49.8030261;3.25755895
LE CATELET;2420;50.0008068;3.24253345
CAULAINCOURT;2490;49.8646162;3.10782065
CAUMONT;2300;49.637401499999996;3.17303405
CELLES LES CONDE;2330;49.0157828;3.57030805
CELLES SUR AISNE;2370;49.4135174;3.4701464
